InitialSeparationM,OvertakingSpeedMPS,OncomingSpeedMPS,VehicleBeingOvertakenSpeedMPS,WindSpeedMPS,FrictionCoefficient,RoadCondition,Success
66.8,37.4,22.1,18.3,7.4,0.55,Wet,False
126.6,44.8,22.3,20.4,9.4,0.96,Wet,True
160.3,25.4,22.3,22.7,3.8,0.52,Dry,False
193.1,39.9,14.6,19.8,5.7,0.90,Wet,False
183.4,34.9,22.8,23.4,7.5,0.66,Dry,False
161.5,36.5,10.6,18.4,1.3,0.63,Dry,True
170.3,41.4,12.0,19.5,5.3,0.80,Wet,False
140.9,39.1,22.2,23.6,3.4,0.69,Wet,True
110.9,39.2,22.0,18.1,5.4,0.92,Dry,False
159.7,31.7,26.5,22.8,6.7,0.74,Wet,True
78.8,25.1,6.2,22.3,0.7,0.54,Dry,False
190.7,37.8,22.6,21.2,9.1,0.81,Wet,False
137.4,40.3,12.7,18.8,7.7,0.59,Dry,True
69.0,35.4,20.8,19.1,9.4,0.84,Dry,False
143.9,32.8,15.7,21.2,6.7,0.77,Wet,True
58.7,25.2,12.3,22.3,8.2,0.95,Wet,True
186.8,27.1,6.2,20.6,6.0,0.56,Dry,True
186.3,39.0,24.1,23.1,8.9,0.64,Dry,False
101.1,39.0,2.4,18.1,9.9,0.89,Wet,True
115.9,30.2,16.3,18.7,3.7,0.96,Dry,True
50.2,39.4,21.2,20.4,1.3,0.92,Wet,False
102.0,33.8,7.2,24.2,7.1,0.63,Dry,True
58.8,33.5,21.1,18.0,7.8,0.51,Wet,False
149.8,25.4,7.5,21.3,4.7,0.58,Dry,True
88.6,42.7,1.1,19.3,7.3,0.51,Dry,True
54.9,38.4,3.8,24.8,3.9,0.89,Dry,True
67.7,30.5,19.4,17.5,8.0,0.68,Wet,True
182.5,42.2,6.0,17.0,1.7,0.74,Dry,True
142.9,30.9,4.6,24.1,9.3,0.59,Wet,True
183.2,43.2,17.2,17.7,0.9,0.84,Dry,True
130.2,29.2,28.1,24.0,0.5,0.62,Dry,False
193.4,37.1,8.0,16.9,4.7,0.91,Wet,True
191.6,34.0,20.4,24.7,6.9,0.52,Wet,True
56.2,40.1,10.7,15.1,2.7,0.69,Wet,True
171.4,28.4,10.1,22.9,8.1,0.62,Dry,True
110.2,30.3,11.6,24.3,7.2,0.58,Wet,True
146.2,35.5,18.2,17.7,6.5,0.62,Dry,True
83.4,36.1,12.2,21.5,7.1,0.90,Dry,True
140.9,42.5,20.0,19.2,7.5,0.74,Dry,True
60.5,30.5,7.4,18.6,6.6,0.53,Dry,True
143.0,34.8,5.2,20.5,1.5,0.64,Dry,False
185.6,31.9,7.5,24.5,8.9,0.53,Dry,True
173.5,27.4,6.9,16.6,2.9,0.69,Wet,True
113.6,28.0,19.7,18.4,4.8,0.76,Dry,True
114.5,29.2,27.0,16.4,3.5,0.89,Dry,False
196.1,27.5,24.2,20.4,2.3,0.74,Wet,True
153.2,26.8,8.0,21.5,3.9,0.57,Wet,True
173.5,32.2,25.3,16.6,5.5,0.73,Dry,False
147.6,36.3,2.2,22.3,2.4,0.84,Dry,True
124.9,33.9,27.2,15.8,4.3,0.81,Wet,True
159.3,30.7,18.3,18.3,0.9,0.72,Dry,True
112.0,35.8,27.8,16.5,3.2,0.80,Wet,False
91.0,39.3,20.3,21.2,4.3,0.67,Wet,True
199.1,30.1,29.2,20.0,6.2,0.88,Dry,True
151.2,43.5,10.6,21.9,9.5,0.51,Wet,True
101.5,31.1,10.0,15.8,5.7,0.56,Dry,True
110.6,42.1,10.4,21.5,9.8,0.86,Wet,True
195.8,25.0,29.1,16.1,10.0,0.99,Wet,False
71.7,44.5,9.0,18.2,6.8,0.68,Wet,False
133.4,26.4,15.2,23.4,6.4,0.78,Dry,False
56.4,33.4,11.5,17.8,2.8,0.93,Wet,False
194.8,32.6,17.5,15.6,9.1,0.63,Wet,True
194.8,32.5,7.6,18.7,2.7,0.65,Wet,True
68.2,37.2,22.5,19.1,4.5,0.98,Dry,False
115.1,31.8,18.0,24.5,3.4,0.65,Dry,True
61.2,34.9,23.3,15.2,7.0,0.59,Dry,True
158.5,32.0,23.2,18.4,3.7,0.60,Dry,False
196.0,26.2,20.8,15.0,0.5,0.88,Dry,False
142.6,34.6,1.5,18.9,2.8,0.59,Wet,True
190.6,38.5,26.6,15.2,2.8,0.83,Dry,False
118.3,31.4,3.2,20.2,8.7,0.87,Wet,True
198.1,40.1,11.1,16.3,6.9,0.96,Wet,True
109.6,43.8,25.1,21.6,6.0,0.74,Dry,False
66.4,28.0,18.0,23.0,3.0,0.81,Dry,False
84.9,44.9,10.4,16.6,4.6,0.97,Wet,True
111.0,36.3,16.7,24.2,4.2,0.62,Wet,True
133.6,39.4,16.6,21.5,7.0,0.95,Wet,False
193.7,38.6,5.0,15.4,0.5,1.00,Dry,True
68.6,30.7,14.1,21.2,2.2,0.50,Wet,True
196.6,37.2,15.7,20.5,5.3,0.68,Wet,True
182.4,32.8,2.9,22.5,5.7,0.94,Wet,True
87.5,28.2,9.0,17.2,5.5,0.85,Dry,True
195.5,34.7,11.1,18.7,0.1,0.67,Dry,True
80.8,41.9,11.6,18.5,5.8,0.81,Wet,False
57.4,29.2,6.7,18.6,2.4,0.98,Dry,True
62.8,32.3,3.5,21.7,6.1,0.88,Dry,True
115.5,29.4,4.1,15.9,8.0,0.68,Dry,True
143.5,33.1,18.7,15.8,3.8,0.91,Wet,True
111.4,30.1,23.1,16.1,6.8,0.76,Wet,True
73.1,40.6,28.0,16.8,7.9,0.57,Dry,True
111.4,44.4,8.4,17.9,2.4,0.71,Wet,True
106.0,44.0,20.5,19.0,8.4,0.71,Dry,False
137.2,31.6,26.0,17.4,1.3,0.59,Wet,True
159.6,26.1,23.4,24.0,5.2,0.83,Wet,True
97.2,31.8,27.0,19.5,9.1,0.81,Dry,False
99.7,29.9,10.1,23.6,5.5,0.89,Wet,True
163.7,34.3,11.4,17.4,8.6,0.65,Dry,True
62.2,26.6,14.1,21.6,2.1,0.85,Wet,True
175.1,44.2,3.9,17.8,9.9,0.96,Wet,True
114.7,42.1,15.6,17.8,8.8,0.83,Dry,True
108.0,25.4,25.2,24.5,2.6,0.52,Dry,False
102.4,35.9,20.6,23.5,8.7,0.64,Wet,True
71.6,34.0,11.1,16.3,6.8,0.65,Wet,True
164.3,31.0,11.6,16.5,5.0,0.80,Wet,False
167.4,38.7,7.0,15.8,9.1,0.70,Wet,True
90.2,29.7,24.7,16.8,3.5,0.67,Dry,False
160.4,38.0,28.0,23.8,4.3,0.87,Dry,False
67.0,32.6,23.5,24.6,3.3,0.63,Wet,True
70.4,29.2,9.3,22.1,1.6,0.58,Dry,True
169.3,43.5,28.5,22.3,9.4,0.74,Wet,True
158.3,27.3,11.6,19.3,6.8,0.59,Wet,True
162.2,31.3,8.0,17.9,0.1,0.67,Dry,True
91.2,39.5,28.6,15.6,8.4,0.91,Dry,False
182.3,25.4,6.7,16.3,9.1,0.67,Wet,True
184.5,37.4,17.7,24.3,1.0,0.87,Wet,False
74.4,37.9,27.9,21.0,0.1,0.99,Dry,False
98.5,43.6,27.1,23.0,5.9,0.79,Wet,True
132.9,25.1,17.3,17.1,4.5,0.67,Dry,False
77.6,41.1,1.5,15.3,10.0,0.72,Wet,False
77.3,29.3,14.5,16.1,3.6,0.72,Wet,False
128.6,35.5,14.0,15.2,5.7,0.63,Wet,True
59.7,43.4,15.6,18.1,0.3,0.89,Dry,True
116.9,32.2,19.3,16.8,8.5,0.73,Wet,True
175.7,38.9,2.8,19.8,4.1,0.99,Dry,True
121.8,40.5,6.1,15.0,2.9,0.80,Dry,True
104.0,43.4,24.1,15.7,7.9,0.72,Dry,False
101.8,25.6,29.4,19.0,8.1,0.88,Wet,True
128.3,37.9,2.1,21.6,8.0,0.80,Wet,True
169.9,30.2,0.8,15.9,1.8,0.80,Wet,True
73.7,29.9,29.8,22.7,8.7,0.66,Dry,False
104.9,33.9,22.2,20.9,9.1,0.82,Dry,False
155.6,38.9,4.9,21.2,4.3,0.87,Dry,False
146.5,32.2,8.1,23.4,4.8,0.58,Dry,True
61.6,40.3,24.2,24.0,3.2,0.55,Wet,True
73.7,44.7,27.1,15.5,7.8,0.65,Dry,False
69.1,25.8,5.4,15.5,3.3,0.88,Dry,True
76.6,36.9,8.7,16.5,0.6,0.87,Dry,True
186.2,27.6,11.6,18.2,6.6,0.82,Dry,True
98.5,25.3,20.9,16.4,3.0,0.86,Wet,True
52.5,44.1,20.8,17.8,0.4,0.52,Wet,False
130.6,40.5,6.5,22.0,9.3,0.69,Dry,False
148.4,34.8,24.5,21.4,7.3,0.75,Dry,False
185.8,34.4,14.6,16.3,5.0,0.55,Dry,False
102.1,43.5,26.3,18.3,5.2,0.98,Dry,False
172.1,32.7,19.2,21.4,2.5,0.57,Dry,True
50.9,29.4,8.2,19.5,8.0,0.91,Wet,True
110.1,39.5,15.3,24.8,0.1,0.62,Dry,True
78.4,36.2,29.6,15.8,3.4,0.98,Wet,True
109.3,37.0,24.9,22.1,6.2,0.94,Dry,True
155.0,37.5,1.6,15.1,9.1,0.58,Wet,True
138.1,41.6,7.9,15.3,5.7,0.65,Dry,True
92.3,41.8,14.7,22.4,9.1,0.99,Dry,True
111.5,38.6,23.7,15.4,0.4,0.96,Wet,False
117.3,28.8,18.8,19.6,4.3,0.76,Dry,True
142.0,38.1,6.3,24.9,2.7,0.82,Dry,True
105.0,39.0,5.2,16.6,6.6,0.67,Dry,True
123.8,41.9,4.0,15.7,6.7,0.83,Wet,True
112.6,27.3,16.9,15.4,8.0,0.68,Wet,True
113.7,33.9,26.5,17.5,7.9,0.72,Dry,False
100.0,25.6,13.9,19.3,8.4,0.78,Dry,True
125.6,37.1,1.1,19.9,6.8,0.59,Dry,True
60.6,35.6,11.5,23.1,7.5,0.70,Wet,False
152.0,25.7,20.1,17.5,5.1,0.85,Dry,False
153.9,30.2,15.6,24.8,1.4,0.67,Dry,False
79.8,27.4,28.9,22.4,3.0,0.87,Dry,True
178.2,27.6,2.0,20.8,7.6,0.86,Dry,True
76.4,27.9,0.0,24.7,6.0,0.82,Wet,True
127.9,27.3,16.0,23.0,4.8,0.79,Dry,False
108.0,40.7,4.2,17.9,7.6,0.71,Wet,False
195.1,37.9,16.5,15.9,5.7,0.85,Wet,False
59.9,30.0,6.2,19.9,2.7,0.72,Dry,True
196.1,25.8,22.7,15.0,3.2,0.86,Dry,False
61.3,44.8,3.7,23.1,8.1,0.57,Dry,False
149.9,39.3,2.1,15.6,8.0,0.92,Wet,True
111.0,34.2,26.2,18.9,8.7,0.99,Dry,False
123.5,38.0,19.2,22.4,3.9,0.81,Dry,True
82.9,42.1,17.0,17.9,3.4,0.77,Wet,True
68.0,36.6,7.0,24.3,3.9,0.98,Wet,True
188.3,34.1,2.4,17.6,3.3,0.55,Dry,False
100.3,37.0,18.3,19.6,7.6,0.51,Dry,True
120.6,41.5,25.3,20.3,8.3,0.78,Wet,True
121.7,31.0,29.9,16.0,4.2,0.80,Dry,True
90.7,34.6,6.1,23.0,0.1,0.57,Wet,True
52.4,36.4,12.2,21.3,5.8,0.59,Wet,True
70.2,29.3,3.4,24.6,5.1,0.77,Dry,False
142.3,39.0,18.9,22.9,2.6,0.93,Dry,True
97.2,41.2,27.5,23.0,6.8,0.67,Dry,True
151.0,30.9,23.8,24.1,1.9,0.60,Dry,False
135.1,43.9,0.7,16.3,2.2,0.63,Wet,False
129.8,28.8,2.2,24.4,6.3,0.96,Wet,False
81.4,32.8,19.2,19.8,3.6,0.70,Wet,False
57.6,43.7,10.5,19.1,5.1,0.72,Dry,True
67.8,39.1,23.5,23.9,5.0,0.75,Dry,False
160.5,29.7,27.7,23.3,9.7,0.90,Wet,True
109.4,36.4,28.9,15.1,6.1,0.94,Dry,False
69.3,43.2,16.5,15.0,0.9,0.54,Wet,True
159.0,44.6,10.8,21.1,7.0,0.84,Dry,True
131.8,40.9,3.1,17.4,3.3,0.59,Dry,True
130.7,31.1,8.2,21.8,8.7,0.87,Dry,False
184.5,30.7,3.9,18.6,6.9,0.66,Wet,True
92.2,36.0,18.3,21.8,6.3,0.59,Wet,True
165.4,38.2,3.6,24.3,1.6,0.88,Wet,True
64.7,27.6,29.8,15.4,10.0,0.81,Wet,True
108.1,30.8,25.9,23.7,3.8,0.54,Dry,False
162.5,36.9,16.2,23.1,1.0,0.50,Wet,True
101.8,27.3,10.5,15.8,6.7,0.63,Dry,True
112.2,27.9,17.1,21.4,7.7,0.59,Wet,True
197.6,40.1,22.8,16.1,5.6,0.83,Dry,False
87.6,25.9,13.9,17.1,0.3,0.71,Wet,True
92.1,28.1,17.2,16.4,1.6,0.53,Dry,True
138.8,43.8,9.4,19.5,9.6,0.77,Wet,True
139.8,34.2,16.0,17.5,4.5,0.78,Wet,True
84.4,40.1,18.0,15.5,4.1,0.94,Wet,True
76.1,34.7,28.7,19.3,0.2,0.83,Wet,True
103.6,25.1,26.7,19.4,9.4,0.75,Wet,False
54.6,38.5,28.6,20.8,3.0,0.77,Wet,False
144.9,43.8,3.5,19.6,7.8,0.54,Wet,True
147.0,28.3,22.8,17.9,5.6,0.73,Wet,True
110.1,27.2,19.6,17.5,5.2,0.76,Dry,True
82.3,34.7,9.2,18.7,4.0,0.60,Wet,False
50.7,25.1,13.2,22.8,9.6,0.68,Wet,True
95.2,26.6,1.7,18.7,7.1,0.81,Dry,True
138.0,25.2,23.5,23.3,4.3,0.75,Dry,False
78.6,26.9,28.8,22.4,8.6,0.71,Wet,True
166.4,25.9,20.8,20.9,2.7,0.53,Dry,False
110.5,42.4,6.9,22.0,7.7,0.90,Dry,True
110.0,34.5,5.6,22.1,4.5,0.82,Wet,True
129.2,30.9,18.1,16.2,5.7,0.73,Dry,True
109.1,32.0,20.7,23.7,4.4,0.54,Dry,False
91.1,30.2,19.8,22.3,7.5,0.71,Dry,True
160.8,29.3,6.8,21.8,0.0,1.00,Wet,True
87.2,38.1,19.9,18.9,4.1,0.82,Wet,True
117.0,34.0,26.1,17.5,5.6,0.76,Dry,False
120.1,38.8,14.7,15.2,3.8,0.76,Wet,True
188.8,43.1,4.2,25.0,1.8,0.99,Wet,False
193.4,36.6,5.1,17.9,1.2,0.77,Wet,True
77.4,34.9,24.9,22.0,4.2,0.58,Dry,False
180.8,31.4,14.1,20.8,3.5,0.85,Wet,True
158.4,40.7,28.8,22.4,9.1,0.55,Wet,True
139.5,31.8,27.9,15.7,1.0,0.92,Dry,False
72.1,33.4,4.0,16.4,3.2,0.66,Wet,True
95.3,36.0,24.0,21.1,5.6,0.74,Wet,True
141.3,26.9,21.9,19.0,5.5,0.74,Dry,False
108.2,39.1,0.9,19.2,9.3,0.61,Wet,True
118.8,25.8,7.2,22.6,4.8,0.87,Dry,False
99.5,30.2,1.0,15.6,2.2,0.68,Wet,True
130.5,25.6,24.4,17.4,2.5,0.84,Wet,True
174.6,31.5,8.8,24.8,9.8,0.77,Wet,True
196.0,42.8,12.1,22.5,5.9,0.78,Wet,True
180.9,31.8,28.1,15.1,4.0,0.99,Wet,False
161.4,32.1,1.9,19.9,1.7,0.89,Wet,True
184.3,43.3,14.6,19.9,6.3,0.96,Dry,True
69.0,27.5,16.7,16.2,5.4,0.89,Dry,False
84.9,38.3,25.9,23.2,3.9,0.99,Wet,True
95.9,26.2,8.5,18.1,7.7,0.50,Wet,False
105.3,33.8,13.4,18.9,4.7,0.98,Dry,False
136.8,25.6,28.6,23.4,2.6,0.55,Wet,False
130.6,41.5,21.7,19.2,5.1,0.50,Dry,True
121.9,26.4,29.2,20.8,2.7,0.83,Dry,False
142.2,43.2,8.5,17.8,0.8,0.88,Dry,False
99.5,34.2,16.0,24.1,6.9,0.95,Dry,True
107.3,26.1,2.2,18.2,7.5,0.88,Dry,True
94.4,32.3,24.9,19.7,2.4,0.70,Dry,False
149.8,36.8,20.9,16.8,6.6,0.69,Dry,False
76.1,25.9,16.1,21.4,6.2,0.84,Wet,True
88.3,35.1,8.9,18.5,1.0,0.82,Wet,True
114.1,44.8,4.7,16.6,5.8,0.94,Dry,True
147.3,38.1,29.9,22.9,9.7,0.99,Dry,True
69.3,34.5,14.8,18.1,3.3,0.59,Dry,True
94.6,30.5,9.4,18.6,0.8,0.87,Wet,True
57.0,39.1,23.0,15.4,0.6,0.93,Dry,False
130.0,35.3,22.9,15.2,3.8,0.55,Wet,False
154.3,40.0,1.4,20.9,9.2,0.88,Wet,True
177.6,27.6,16.4,18.1,7.6,0.80,Wet,True
171.6,29.1,10.6,15.2,2.1,0.97,Dry,True
92.2,29.4,21.6,16.7,6.5,0.81,Dry,False
60.9,39.1,0.8,15.9,4.1,0.86,Dry,True
198.9,27.8,1.7,18.5,9.0,0.57,Dry,True
141.1,40.7,19.2,16.9,2.1,0.85,Wet,True
80.3,33.7,25.6,15.8,4.0,0.61,Dry,False
56.0,38.1,9.9,16.3,5.8,0.68,Dry,True
157.1,42.7,6.7,22.6,1.1,0.91,Wet,True
192.0,44.0,27.1,18.3,9.4,0.51,Dry,False
133.6,30.3,5.7,17.1,9.8,0.65,Wet,False
94.8,40.0,10.3,19.6,9.3,0.81,Dry,True
140.0,44.5,12.9,20.0,7.3,0.52,Wet,True
136.4,38.2,24.9,23.5,6.5,0.84,Wet,True
129.5,33.2,11.5,22.8,2.0,0.75,Dry,True
167.9,30.4,6.5,15.8,2.7,0.89,Wet,True
146.1,26.6,21.9,20.9,4.6,0.89,Wet,True
151.1,43.2,18.9,24.1,7.8,0.96,Wet,True
180.9,25.6,7.2,23.8,7.6,0.53,Wet,True
184.1,39.1,21.5,22.2,8.3,0.65,Wet,True
75.9,44.6,10.9,16.0,3.5,0.75,Wet,True
75.4,36.6,21.1,18.6,6.9,0.90,Dry,False
163.0,43.1,11.0,18.5,2.5,0.75,Wet,False
66.5,44.4,5.4,18.7,3.7,0.70,Wet,True
137.2,35.8,0.4,20.8,0.8,0.64,Wet,False
187.8,39.6,11.0,22.7,0.7,0.82,Wet,True
63.5,25.9,8.5,24.3,4.0,0.83,Dry,False
60.8,26.4,26.2,17.9,5.3,0.77,Dry,False
54.5,32.5,10.5,19.4,1.4,0.91,Dry,True
135.9,26.1,2.8,15.0,4.5,0.90,Wet,True
56.6,42.2,1.8,21.2,5.9,0.61,Dry,True
82.7,29.2,20.7,15.3,7.0,0.98,Wet,True
121.0,35.6,21.8,23.4,2.4,0.63,Dry,False
104.2,34.7,3.2,15.1,4.3,0.67,Dry,True
99.3,33.5,29.6,22.9,2.1,0.52,Dry,False
195.9,33.4,24.4,23.4,1.6,0.93,Dry,False
189.9,36.5,15.7,16.7,5.7,0.86,Wet,True
197.4,42.1,14.0,15.2,0.1,0.64,Dry,True
139.3,42.6,6.8,17.4,1.6,0.77,Wet,True
54.0,34.1,4.7,20.8,5.7,0.95,Dry,True
160.5,42.1,23.5,22.4,0.4,0.91,Wet,True
177.5,29.8,24.7,24.4,2.0,0.54,Dry,False
83.7,28.1,20.3,21.0,5.6,0.82,Wet,True
131.5,37.0,9.0,24.7,1.9,0.71,Wet,True
199.2,41.6,8.5,15.5,1.7,0.79,Dry,True
75.0,37.0,12.9,24.4,9.2,0.97,Wet,True
152.3,38.3,15.0,17.4,8.4,0.50,Dry,True
120.7,43.4,18.5,17.5,3.8,0.91,Wet,True
199.2,35.5,11.9,21.8,8.3,0.73,Dry,True
123.8,44.5,3.7,23.3,6.3,0.78,Wet,True
119.7,43.0,2.8,15.3,4.8,0.52,Dry,True
73.6,31.3,1.5,20.7,6.4,0.79,Wet,True
109.7,34.5,28.5,21.4,9.1,0.95,Dry,False
108.3,42.6,17.7,21.1,6.7,0.90,Wet,True
133.8,36.4,19.7,20.1,6.8,0.83,Wet,False
135.8,27.5,3.6,24.2,4.9,0.66,Wet,True
62.5,37.0,17.7,17.3,0.7,0.98,Dry,True
192.8,37.8,18.6,18.4,7.0,0.86,Dry,True
117.1,41.7,19.8,22.0,6.6,0.55,Wet,True
129.1,39.3,28.2,21.5,4.7,0.77,Wet,True
173.5,42.7,8.9,24.8,0.5,0.63,Dry,True
72.2,41.3,14.5,24.7,1.7,0.71,Dry,True
166.3,44.8,13.5,19.0,3.2,0.72,Dry,True
122.7,42.1,0.7,23.2,4.9,0.98,Wet,True
106.4,36.3,29.4,23.3,8.0,0.76,Wet,False
137.4,30.2,4.6,19.1,6.6,0.86,Dry,True
134.2,26.4,27.3,19.7,1.7,0.62,Dry,False
106.0,32.8,16.2,18.6,7.9,0.56,Wet,False
125.8,34.9,29.3,23.8,4.4,0.65,Wet,False
187.1,30.7,26.1,18.0,9.2,0.72,Dry,False
99.7,38.9,15.9,23.7,3.2,0.62,Wet,True
175.1,35.0,13.2,17.8,3.4,0.70,Dry,True
177.2,36.6,3.3,23.3,7.9,0.98,Wet,True
149.2,26.5,4.3,18.9,3.0,0.97,Wet,True
92.3,37.8,17.1,19.5,7.0,0.94,Dry,True
134.8,36.3,28.5,19.3,2.9,0.61,Dry,True
94.9,39.0,25.3,15.6,9.5,1.00,Wet,True
162.9,38.1,21.4,19.0,8.6,0.77,Dry,False
103.6,36.4,4.5,23.0,8.6,0.75,Dry,True
119.8,32.4,1.3,18.9,2.3,0.96,Dry,True
120.8,42.2,17.4,15.7,2.9,0.51,Dry,True
123.8,25.9,2.1,17.0,0.4,0.95,Wet,True
157.3,42.8,9.8,16.4,9.6,0.52,Wet,False
112.3,43.1,24.7,21.5,0.7,0.72,Dry,False
161.8,31.5,5.4,20.5,0.6,0.74,Wet,False
189.9,31.8,18.1,22.0,8.9,0.98,Wet,True
184.0,37.7,24.4,19.3,9.3,0.92,Wet,True
135.2,31.3,26.9,20.0,4.0,0.73,Wet,True
155.1,42.4,20.1,23.2,4.1,0.98,Wet,True
66.5,26.2,5.3,24.6,9.7,0.78,Dry,False
66.7,36.0,14.4,23.2,1.8,0.54,Dry,True
141.2,38.0,24.2,23.9,0.0,0.81,Wet,True
54.0,31.7,5.4,23.9,5.5,1.00,Dry,True
159.2,30.9,19.0,24.3,3.3,0.79,Wet,False
92.6,35.5,23.2,18.5,2.3,0.75,Wet,False
63.3,36.8,0.4,19.9,5.6,0.61,Wet,True
164.0,43.8,19.7,25.0,8.4,0.72,Wet,True
134.8,37.8,14.4,16.3,7.8,0.86,Dry,True
110.2,38.1,23.0,22.3,7.6,0.58,Wet,True
104.6,28.5,15.4,20.1,8.2,0.66,Dry,True
110.0,32.8,28.4,17.5,8.4,0.71,Wet,False
180.3,39.4,7.6,18.3,1.5,0.60,Dry,True
120.6,34.9,2.2,24.6,1.5,0.74,Dry,True
175.0,30.4,14.7,20.8,1.9,0.85,Wet,False
65.3,44.5,17.9,23.3,8.2,0.94,Wet,False
134.5,33.4,30.0,21.8,2.1,0.57,Dry,False
179.2,39.2,10.3,23.5,2.0,0.67,Wet,True
64.1,25.3,8.1,17.1,6.8,0.56,Dry,True
63.3,26.6,24.5,24.9,9.5,0.82,Dry,False
112.0,33.1,25.2,15.0,2.0,0.98,Wet,True
194.5,35.7,13.7,21.1,7.6,0.59,Dry,True
61.5,32.2,20.8,20.0,3.5,0.54,Dry,True
157.2,34.4,2.1,22.4,1.9,0.99,Dry,True
67.1,33.6,11.4,15.9,1.7,0.82,Dry,True
183.0,33.9,0.8,17.1,0.8,0.96,Dry,True
69.3,25.9,21.4,23.0,4.0,0.59,Dry,True
151.8,35.6,23.6,21.8,3.0,0.50,Dry,True
104.9,34.8,5.3,15.4,7.0,0.72,Wet,True
52.3,26.0,24.7,20.3,5.6,0.58,Wet,True
131.7,42.2,28.9,21.6,4.5,0.87,Wet,False
130.7,26.7,26.7,22.3,2.2,0.87,Dry,False
